data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2010,10,Barley and barley products,6203762,3615556,70289002,49428647
Pounds of Materials Used,Grain Products,2010,10,Wheat and wheat products,1053279,1025133,19583666,15569364
Pounds of Materials Used,Total Grain products,2010,10,Total Grain products,447365838,448685527,4870374429,5030089007
Pounds of Materials Used,Non-Grain Products,2010,10,Sugar and syrups,67265699,47840939,660177738,647426679
Pounds of Materials Used,Non-Grain Products,2010,10,Hops (dry),9244763,1326445,76623547,53227307
Pounds of Materials Used,Non-Grain Products,2010,10,Hops (used as extracts),293914,302264,3751314,3566970
Pounds of Materials Used,Non-Grain Products,2010,10,Other,8888902,8944515,107878058,84768249
Pounds of Materials Used,Total Non-Grain products,2010,10,Total Non-Grain products,85693278,58414163,848430657,788989205
Pounds of Materials Used,Total Used,2010,10,Total Used,533059116,507099690,5718805086,5819078212
Pounds of Materials Used,Grain Products,2010,11,Malt and malt products,298251207,309688888,3861508317,4043461219
Pounds of Materials Used,Grain Products,2010,11,Corn and corn products,47348859,47018983,652254266,659865353
Pounds of Materials Used,Grain Products,2010,11,Rice and rice products,53779401,50460060,666087792,671893628
Pounds of Materials Used,Grain Products,2010,11,Barley and barley products,5235825,3374449,75533654,53652072
Pounds of Materials Used,Grain Products,2010,11,Wheat and wheat products,1097679,1116613,20682123,16822657
Pounds of Materials Used,Total Grain products,2010,11,Total Grain products,405712971,411658993,5276066152,5445694929
Pounds of Materials Used,Non-Grain Products,2010,11,Sugar and syrups,59184495,44926666,719362563,692382199
Pounds of Materials Used,Non-Grain Products,2010,11,Hops (dry),7727370,4442654,84351150,57737734
Pounds of Materials Used,Non-Grain Products,2010,11,Hops (used as extracts),281893,289240,4033338,3856410
Pounds of Materials Used,Non-Grain Products,2010,11,Other,9117383,9915569,116995511,94958272
Pounds of Materials Used,Total Non-Grain products,2010,11,Total Non-Grain products,76311141,59574129,924742562,848934615
Pounds of Materials Used,Total Used,2010,11,Total Used,482024112,471233122,6200808714,6294629544
Pounds of Materials Used,Grain Products,2010,12,Malt and malt products,285382073,302237874,4147040380,4345699093
Pounds of Materials Used,Grain Products,2010,12,Corn and corn products,48503335,45851254,700757601,705716607
Pounds of Materials Used,Grain Products,2010,12,Rice and rice products,47504543,51919861,713595821,723813489
Pounds of Materials Used,Grain Products,2010,12,Barley and barley products,12815197,7271474,88354008,60923546
Pounds of Materials Used,Grain Products,2010,12,Wheat and wheat products,1588739,1851868,22279062,18674525
Pounds of Materials Used,Total Grain products,2010,12,Total Grain products,395793887,409132331,5672026872,5854827260
Pounds of Materials Used,Non-Grain Products,2010,12,Sugar and syrups,49709103,39077880,769088843,731460079
Pounds of Materials Used,Non-Grain Products,2010,12,Hops (dry),6540100,3887961,90902672,61625695
Pounds of Materials Used,Non-Grain Products,2010,12,Hops (used as extracts),255382,260877,4288750,4117287
Pounds of Materials Used,Non-Grain Products,2010,12,Other,8217736,8051559,125562163,103009831
Pounds of Materials Used,Total Non-Grain products,2010,12,Total Non-Grain products,64722321,51278277,989842428,900212892
Pounds of Materials Used,Total Used,2010,12,Total Used,460516208,460410608,6661869300,6755040152
Pounds of Materials Used,Grain Products,2011,1,Malt and malt products,322480722,330304432,322480722,330304432
Pounds of Materials Used,Grain Products,2011,1,Corn and corn products,58632672,56705162,58632672,56705162
Pounds of Materials Used,Grain Products,2011,1,Rice and rice products,108112318,59701345,108112318,59701345
